Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev_32b52_841f0	0	0	0	0	1	0	318
rev_602fc_28ee2	3	0	29	0	2	2	131
rev_77fa4_2ae08	1	0	28	0	1	1	543
rev_97e4b_e5566	1	5	7	0	2	1	394
rev_9f4f6_18c4e	1	0	3	0	1	1	73
rev_bde3b_d86d7	0	0	0	0	1	0	44
rev_d288d_8bfc3	1	0	14	0	1	1	141
rev_d98b0_4f420	0	0	0	2	2	0	880
