Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev_32b52_841f0	1	6	16	0	1	1	333
rev_602fc_28ee2	2	0	152	0	2	2	156
rev_77fa4_2ae08	1	2	2	0	1	1	508
rev_97e4b_e5566	7	43	59	0	2	2	431
rev_9f4f6_18c4e	1	0	3	0	1	1	73
rev_bde3b_d86d7	2	0	151	0	2	2	155
rev_d288d_8bfc3	1	0	179	0	1	1	181
rev_d98b0_4f420	3	13	4	0	2	2	880
