Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev_34fc3_4cecb	1	2	2	0	1	1	36
rev_38f18_a8fd1	3	7	5	0	1	1	394
rev_39499_d0c7a	1	2	2	0	1	1	36
rev_50429_e0ccb	1	2	2	0	1	1	26
rev_66053_b23af	1	2	2	0	1	1	26
rev_864a7_48729	9	101	77	0	3	3	773
rev_aadf7_c7f82	4	34	32	0	2	2	172
rev_abda5_89950	0	0	0	0	1	0	148
rev_d15a9_61ab9	1	2	2	0	1	1	36
rev_f54d5_50b65	1	0	0	0	1	1	42
