Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev_2881a_5a241	3	24	6	0	113	2	10153
rev_4b0bc_55bfa	1	1	1	0	2	1	792
rev_4fa2c_d6fbd	0	0	0	0	1	0	57
rev_699c0_79e54	2	17	23	0	1	1	137
