Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev_2881a_5a241	70	587	254	0	113	28	11001
rev_4b0bc_55bfa	2	12	4	0	2	2	779
rev_4fa2c_d6fbd	1	2	0	0	1	1	60
rev_699c0_79e54	3	63	70	0	1	1	170
