Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev_0daf3_16a40	1	1	2	0	1	1	725
rev_326b8_6d39c	135	8521	886	0	66	60	17459
rev_479de_4b99c	3	12	6	0	3	3	918
rev_5cb86_40e6a	1	1	0	0	1	1	487
rev_5d010_18d30	19	0	1850	0	19	19	1888
rev_76c84_4eac8	1	3	1	0	1	1	138
rev_820af_64ebe	2	170	0	0	2	2	174
rev_87913_7be8d	1	66	0	0	1	1	68
rev_a7152_eafd8	3	238	1	0	2	2	589
rev_fd8db_47eaf	2	164	0	0	2	2	168
